Trial_ID,Drug_Name,Indication,Enrollment_Target,Enrolled_Patients,Adverse_Events_Rate,Retention_Rate,FDA_Status,Start_Date,End_Date,Region
TRIAL_074,Drug_V73,Schizophrenia,742,269,0.25,0.69,Pending,2024-05-26,2025-03-04,Europe
TRIAL_075,Drug_W74,Bipolar Disorder,868,659,0.21,0.52,Approved,2024-06-02,2025-01-03,Europe
TRIAL_076,Drug_X75,Schizophrenia,104,73,0.22,0.93,Approved,2024-06-09,2024-09-26,Asia
TRIAL_077,Drug_Y76,Schizophrenia,317,148,0.07,0.51,Pending,2024-06-16,2025-03-16,Asia
TRIAL_078,Drug_Z77,Schizophrenia,602,150,0.17,0.78,Denied,2024-06-23,2025-03-13,Europe
TRIAL_079,Drug_A78,Bipolar Disorder,866,641,0.21,0.71,Pending,2024-06-30,2025-03-27,Asia
TRIAL_080,Drug_B79,Schizophrenia,497,120,0.08,0.82,Approved,2024-07-07,2024-11-06,North America
TRIAL_081,Drug_C80,Bipolar Disorder,970,55,0.06,0.66,Denied,2024-07-14,2025-05-15,North America
TRIAL_082,Drug_D81,Schizophrenia,894,377,0.29,0.57,Approved,2024-07-21,2024-12-11,Europe
TRIAL_083,Drug_E82,Bipolar Disorder,492,341,0.16,0.97,Approved,2024-07-28,2025-06-14,Europe
TRIAL_084,Drug_F83,Schizophrenia,306,258,0.09,0.9,Approved,2024-08-04,2025-06-28,Europe
TRIAL_085,Drug_G84,Bipolar Disorder,114,58,0.3,0.91,Approved,2024-08-11,2025-05-30,North America
TRIAL_086,Drug_H85,Bipolar Disorder,957,480,0.29,0.62,Approved,2024-08-18,2024-11-28,Asia
TRIAL_087,Drug_I86,Schizophrenia,653,242,0.17,0.52,Pending,2024-08-25,2025-01-28,North America
TRIAL_088,Drug_J87,Bipolar Disorder,991,283,0.27,0.65,Pending,2024-09-01,2025-05-30,Asia
TRIAL_089,Drug_K88,Schizophrenia,560,180,0.06,0.76,Approved,2024-09-08,2025-02-08,North America
TRIAL_090,Drug_L89,Schizophrenia,790,513,0.09,0.66,Approved,2024-09-15,2025-04-16,Asia
TRIAL_091,Drug_M90,Schizophrenia,674,120,0.21,0.9,Approved,2024-09-22,2025-01-10,North America
TRIAL_092,Drug_N91,Schizophrenia,963,728,0.26,0.63,Pending,2024-09-29,2025-08-08,Europe
TRIAL_093,Drug_O92,Schizophrenia,842,356,0.26,0.96,Approved,2024-10-06,2025-06-28,North America
TRIAL_094,Drug_P93,Schizophrenia,340,308,0.13,0.72,Approved,2024-10-13,2025-07-21,Asia
TRIAL_095,Drug_Q94,Schizophrenia,663,630,0.27,0.9,Pending,2024-10-20,2025-05-20,North America
TRIAL_096,Drug_R95,Schizophrenia,195,79,0.26,0.59,Pending,2024-10-27,2025-03-21,North America
TRIAL_097,Drug_S96,Schizophrenia,999,955,0.28,0.7,Approved,2024-11-03,2025-03-04,North America
TRIAL_098,Drug_T97,Schizophrenia,833,329,0.24,0.84,Approved,2024-11-10,2025-09-18,Europe
TRIAL_099,Drug_U98,Schizophrenia,584,353,0.2,0.57,Pending,2024-11-17,2025-07-18,North America
TRIAL_100,Drug_V99,Bipolar Disorder,506,63,0.18,0.56,Pending,2024-11-24,2025-11-01,Europe
